link_id,from_node_id,to_node_id,volume
1,1,547,4616.000
2,2,548,6111.000
3,3,549,9063.000
4,4,550,8008.000
5,5,551,14918.000
6,6,552,5455.000
7,7,553,6091.000
8,8,554,6161.000
9,9,555,5595.000
10,10,556,7567.000
11,11,557,8462.000
12,12,558,3834.000
13,13,559,5241.000
14,14,560,9169.000
15,15,561,3305.000
16,16,562,4681.000
17,17,563,7623.000
18,18,564,5095.000
19,19,565,1637.000
20,20,566,4362.000
21,21,567,3331.000
22,22,568,1643.000
23,23,569,7749.000
24,24,570,3353.000
25,25,571,5515.000
26,26,572,10091.000
27,27,573,5565.000
28,28,574,5800.000
29,29,575,11719.000
30,30,576,4287.000
31,31,577,5155.000
32,32,578,6756.000
33,33,579,4195.000
34,34,580,5865.000
35,35,581,4361.000
36,36,582,5550.000
37,37,583,0.000
38,38,584,1623.000
39,39,585,6011.000
40,40,586,1556.000
41,41,587,6666.000
42,42,588,1732.000
43,43,589,4275.000
44,44,590,6183.000
45,45,591,5350.000
46,46,592,5655.000
47,47,593,1996.000
48,48,594,3461.000
49,49,595,2922.000
50,50,596,3901.000
51,51,597,1111.000
52,52,598,1874.000
53,53,599,4319.000
54,54,600,886.000
55,55,601,1293.000
56,56,602,3454.000
57,57,603,1284.000
58,58,604,4384.000
59,59,605,4363.000
60,60,606,4255.000
61,61,607,4464.000
62,62,608,3925.000
63,63,609,3201.000
64,64,610,4861.000
65,65,611,2804.000
66,66,612,4355.000
67,67,613,3277.000
68,68,614,3977.000
69,69,615,4418.000
70,70,616,3301.000
71,71,617,2643.000
72,72,618,5625.000
73,73,619,4805.000
74,74,620,2060.000
75,75,621,2226.000
76,76,622,4713.000
77,77,623,6487.000
78,78,624,5786.000
79,79,625,2692.000
80,80,626,8712.000
81,81,627,5999.000
82,82,628,4604.000
83,83,629,2938.000
84,84,630,5320.000
85,85,631,10805.000
86,86,632,4520.000
87,87,633,4500.000
88,88,634,3994.000
89,89,635,1513.000
90,90,636,1759.000
91,91,637,6255.000
92,92,638,1428.000
93,93,639,3861.000
94,94,640,261.000
95,95,641,2401.000
96,96,642,354.000
97,97,643,5400.000
98,98,644,7641.000
99,99,645,4029.000
100,100,646,3273.000
101,101,647,1921.000
102,102,648,3278.000
103,103,649,1389.000
104,104,650,2561.000
105,105,651,738.000
106,106,652,3556.000
107,107,653,3370.000
108,108,654,3281.000
109,109,655,2385.000
110,110,656,5317.000
111,111,657,4230.000
112,112,658,3339.000
113,113,659,2988.000
114,114,660,2001.000
115,115,661,3757.000
116,116,662,1777.000
117,117,663,361.000
118,118,664,3278.000
119,119,665,550.000
120,120,666,1120.000
121,121,667,2958.000
122,122,668,1555.000
123,123,669,3355.000
124,124,670,1177.000
125,125,671,1688.000
126,126,672,355.000
127,127,673,1367.000
128,128,674,536.000
129,129,675,2543.000
130,130,676,2174.000
131,131,677,2089.000
132,132,678,2183.000
133,133,679,3964.000
134,134,680,2566.000
135,135,681,3990.000
136,136,682,3803.000
137,137,683,1358.000
138,138,684,848.000
139,139,685,828.000
140,140,686,539.000
141,141,687,2102.000
142,142,688,2452.000
143,143,689,2874.000
144,144,690,1835.000
145,145,691,4829.000
146,146,692,4850.000
147,147,693,1876.000
148,148,694,3528.000
149,149,695,1978.000
150,150,696,855.000
151,151,697,1043.000
152,152,698,1666.000
153,153,699,1708.000
154,154,700,1971.000
155,155,701,2081.000
156,156,702,2460.000
157,157,703,4603.000
158,158,704,4697.000
159,159,705,3612.000
160,160,706,3655.000
161,161,707,1307.000
162,162,708,447.000
163,163,709,269.000
164,164,710,1697.000
165,165,711,295.000
166,166,712,1257.000
167,167,713,913.000
168,168,714,165.000
169,169,715,360.000
170,170,716,3667.000
171,171,717,779.000
172,172,718,2372.000
173,173,719,392.000
174,174,720,205.000
175,175,721,966.000
176,176,722,610.000
177,177,723,263.000
178,178,724,1774.000
179,179,725,1230.000
180,180,726,209.000
181,181,727,398.000
182,182,728,1381.000
183,183,729,670.000
184,184,730,690.000
185,185,731,390.000
186,186,732,349.000
187,187,733,750.000
188,188,734,1714.000
189,189,735,2137.000
190,190,736,3578.000
191,191,737,2691.000
192,192,738,1099.000
193,193,739,66.000
